iter	Logloss
135	0.6358280436
136	0.6357201335
137	0.6355710042
138	0.6354191895
139	0.6352236328
140	0.6350442708
141	0.63484493
142	0.634709432
143	0.6345819499
144	0.6344140218
145	0.6342541504
146	0.6341311442
147	0.6339695638
148	0.6338496094
149	0.6337191569
150	0.6335799967
151	0.6334369303
152	0.6332746582
153	0.6330581462
154	0.6328820801
155	0.6327406413
156	0.6325991618
157	0.6324110514
158	0.6322578939
159	0.6321191406
160	0.6319937337
161	0.6318194173
162	0.6317159831
163	0.6315866292
164	0.6314744466
165	0.6313365885
166	0.6311319173
167	0.6310049235
168	0.630906901
169	0.6307409668
170	0.6306207682
171	0.6305061849
172	0.6303667806
173	0.6302456868
174	0.6301535645
175	0.6299877116
176	0.6298496094
177	0.6297605794
178	0.6296419271
179	0.6294823405
180	0.6293780111
181	0.629250651
182	0.6291492513
183	0.6290083822
184	0.6289162598
185	0.6287948405
186	0.6287049967
187	0.6285468343
188	0.6284536947
189	0.6283712972
190	0.6282578939
191	0.6281438802
192	0.6280184733
193	0.6279545898
194	0.6277987061
195	0.6276971842
196	0.6275829671
197	0.6274466146
198	0.6272980957
199	0.6271794434
200	0.6270756022
201	0.6269637044
202	0.6268806559
203	0.6267932536
204	0.6266754557
205	0.6266184896
206	0.6265112712
207	0.6264102376
208	0.6263753662
209	0.6262727458
210	0.6261653646
211	0.6260760091
212	0.6259504801
213	0.6258687337
214	0.6257820231
215	0.6256993001
216	0.6255909831
217	0.625482666
218	0.6253701986
219	0.6252971191
220	0.6251729329
221	0.6251016439
222	0.6250559896
223	0.6248992513
224	0.6247786865
225	0.6246643473
226	0.624568929
227	0.6244406331
228	0.6243465169
229	0.6242212728
230	0.6241563314
231	0.6240473633
232	0.6239613444
233	0.6238828125
234	0.6237769775
235	0.6236687826
236	0.6235722249
237	0.6235149333
238	0.623409668
239	0.6233124593
240	0.6232001546
241	0.6231503906
242	0.6230579427
243	0.6229602458
244	0.622909668
245	0.6228679199
246	0.6227659912
247	0.6226709391
248	0.6225866699
249	0.6224615885
250	0.6223580729
251	0.6222708333
252	0.6221726888
253	0.6221005859
254	0.6219842122
255	0.6219178874
256	0.6218304036
257	0.6217696126
258	0.6217301839
259	0.6216424967
260	0.6215554199
261	0.6214573568
262	0.6213853353
263	0.6213660482
264	0.6212979329
265	0.6211726481
266	0.6211025798
267	0.6210605876
268	0.6209735514
269	0.6208931478
270	0.6208032227
271	0.6206726888
272	0.6206048584
273	0.620523763
274	0.6204447021
275	0.6203342285
276	0.6202957764
277	0.6202399089
278	0.6201150716
279	0.6200080566
280	0.6199117025
281	0.6199071452
282	0.6198120931
283	0.6196850993
284	0.6195778809
285	0.6194961751
286	0.6194107259
287	0.619355306
288	0.6193150635
289	0.6192305908
290	0.6191516113
291	0.6190317383
292	0.6189333496
293	0.6188366292
294	0.6187289225
295	0.6186761882
296	0.6185696208
297	0.6184689128
298	0.6184002279
299	0.6183298747
300	0.6182699382
301	0.6182045492
302	0.6181529541
303	0.618082723
304	0.6180115967
305	0.6179337158
306	0.6178179525
307	0.617763265
308	0.6176929932
309	0.6176065674
310	0.6175202637
311	0.6174910482
312	0.6173875326
313	0.6172867432
314	0.6172478027
315	0.6171892904
316	0.6171440837
317	0.6170959473
318	0.6170323486
319	0.6169539388
320	0.6169200033
321	0.6168331299
322	0.6167634684
323	0.6166697184
324	0.6166251628
325	0.6164859619
326	0.616443278
327	0.6163314616
328	0.6162274577
329	0.6161411133
330	0.6160709635
331	0.6159923503
332	0.6159541016
333	0.6158986816
334	0.6158365072
335	0.6157993978
336	0.6157683919
337	0.6157002767
338	0.6156227214
339	0.6155005697
340	0.6154060872
341	0.615285319
342	0.6152032878
343	0.6151551514
344	0.6150422363
345	0.6149651693
346	0.6148880208
347	0.6148054199
348	0.6147176514
349	0.6146698405
350	0.6145742594
351	0.6145361328
352	0.6144879557
353	0.6144425456
354	0.6143239746
355	0.614229248
356	0.6142051188
357	0.614144043
358	0.6140909017
359	0.6140384115
360	0.613993042
361	0.6139163411
362	0.613843099
363	0.6137851562
364	0.6137287598
365	0.6136175944
366	0.6135637207
367	0.6134088135
368	0.613360026
369	0.6132864176
370	0.613243571
371	0.6132097982
372	0.6131552734
373	0.6131134847
374	0.6130630697
375	0.6130325521
376	0.6129549561
377	0.6129045817
378	0.6128367106
379	0.6127842611
380	0.6126991781
381	0.6126289062
382	0.6125738525
383	0.6125083008
384	0.6124003092
385	0.6123449707
386	0.6123071289
387	0.6122630208
388	0.6122029215
389	0.6121474609
390	0.6120285645
391	0.6119708659
392	0.6119305013
393	0.6118706055
394	0.6118046875
395	0.6117575684
396	0.6116670329
397	0.6116335449
398	0.6115288086
399	0.6114158529
400	0.6113306071
401	0.6112757161
402	0.6111833496
403	0.6111272786
404	0.611094401
405	0.6110263672
406	0.6109753418
407	0.6108792318
408	0.6108283691
409	0.6107637533
410	0.6107323812
411	0.6106438802
412	0.6105572917
413	0.6104874674
414	0.6104423421
415	0.6104173177
416	0.6103835449
417	0.6103569336
418	0.6102700602
419	0.6102161865
420	0.6101645915
421	0.6101043294
422	0.6100221354
423	0.6099919027
424	0.6099726562
425	0.6098974202
426	0.6098598633
427	0.6098261719
428	0.6097780762
429	0.6097509766
430	0.6096546631
431	0.6095635579
432	0.6094864909
433	0.6094124349
434	0.6093574219
435	0.6093050537
436	0.6092599284
437	0.6091325277
438	0.6090609538
439	0.6090280355
440	0.6089761963
441	0.6088740234
442	0.6088690999
443	0.6087922363
444	0.6087543132
445	0.6086899414
446	0.6086397705
447	0.6085822754
448	0.6084568685
449	0.6084030762
450	0.6083281657
451	0.6082141113
452	0.6081033122
453	0.6079956462
454	0.6079370931
455	0.6078956706
456	0.6078423665
457	0.6077386882
458	0.6077004395
459	0.6076246338
460	0.6075926921
461	0.6075520833
462	0.6075468343
463	0.6075007731
464	0.6074509277
465	0.6073908285
466	0.6073453776
467	0.6073267008
468	0.6072546794
469	0.6071955973
470	0.6071540934
471	0.6070629883
472	0.6070069173
473	0.6069318034
474	0.6068917643
475	0.6067672526
476	0.6067079264
477	0.6066634115
478	0.606611735
479	0.6065629883
480	0.6064824219
481	0.6064128418
482	0.6063605143
483	0.6062899984
484	0.6062651367
485	0.6062295736
486	0.6061629232
487	0.6060275065
488	0.6059778646
489	0.6059235433
490	0.6058625488
491	0.6057644043
492	0.6057202962
493	0.605627889
494	0.6055421549
495	0.6054283854
496	0.605386027
497	0.6053448079
498	0.6052684326
499	0.6052115072
500	0.6051411133
501	0.605057251
502	0.6050143229
503	0.6049479167
504	0.6048800456
505	0.6048030599
506	0.6047029622
507	0.604644694
508	0.6045895182
509	0.604556071
510	0.6045045573
511	0.6044087728
512	0.6043352051
513	0.6043070068
514	0.6042150065
515	0.6042033285
516	0.6041424967
517	0.6040939941
518	0.6040511068
519	0.6039685059
520	0.6038628743
521	0.6038275553
522	0.6037428385
523	0.6036885579
524	0.6036428223
525	0.6035730387
526	0.6035108236
527	0.6034532878
528	0.6033926595
529	0.6033325602
530	0.6032897542
531	0.6032483317
532	0.6031797689
533	0.6031348877
534	0.6030441081
535	0.6029894206
536	0.6029038086
537	0.6028496908
538	0.6027769368
539	0.6026762288
540	0.6026401774
541	0.6026090902
542	0.6025319824
543	0.6024945475
544	0.6024464518
545	0.6024066569
546	0.6023746338
547	0.6023104655
548	0.6022480062
549	0.6021870117
550	0.6021664225
551	0.6021061198
552	0.6020557454
553	0.6020074056
554	0.6019206543
555	0.6018860677
556	0.6017705892
557	0.6017187093
558	0.6016020101
559	0.6015185547
560	0.6014444173
561	0.6013534342
562	0.6012924398
563	0.6012373861
564	0.6011809896
565	0.6010878092
566	0.6010360921
567	0.6009568278
568	0.6008819173
569	0.6008364258
570	0.6007891439
571	0.6007105306
572	0.600627889
573	0.600597819
574	0.6005039063
575	0.6004716797
576	0.6004078776
577	0.6002764893
578	0.6001986491
579	0.6001305745
580	0.6001086426
581	0.6000052897
582	0.5999213867
583	0.599880249
584	0.5998422852
585	0.5998227539
586	0.5998064372
587	0.5997258301
588	0.5997147624
589	0.599673584
590	0.5996122233
591	0.5995745036
592	0.5995371908
593	0.5995070394
594	0.5994853516
595	0.5993864746
596	0.5992998861
597	0.5992244466
598	0.5991802979
599	0.5991176758
600	0.5990008952
601	0.5989627686
602	0.5988924967
603	0.5987945964
604	0.5987548828
605	0.5987139893
606	0.5986274414
607	0.5985869141
608	0.5985314128
609	0.5984849447
610	0.5984313965
611	0.5983915202
612	0.5983653564
613	0.5983486328
614	0.5982729492
615	0.5981770833
616	0.5980921631
617	0.5980785726
618	0.598050293
619	0.5979789632
620	0.5979285889
621	0.5978809814
622	0.5977681478
623	0.5977486165
624	0.5976561279
625	0.5975741374
626	0.5975371094
627	0.5975038249
628	0.5974320475
629	0.5974003499
630	0.5973678385
631	0.5973625488
632	0.5972659098
633	0.5971971029
634	0.597119222
635	0.5970397949
636	0.5970129801
637	0.5969719238
638	0.5969259033
639	0.5968871257
640	0.5968221842
641	0.5967613932
642	0.5966955566
643	0.5966339925
644	0.5965498454
645	0.5964710286
646	0.5963911133
647	0.5963093262
648	0.5962618001
649	0.5962465007
650	0.5961268717
651	0.5960804443
652	0.595997111
653	0.5959023437
654	0.595855306
655	0.5958253988
656	0.5958093669
657	0.5957261556
658	0.5956795247
659	0.5956743978
660	0.5956215007
661	0.5955897217
662	0.5955596924
663	0.5954840495
664	0.5954312337
665	0.5953691406
666	0.5952857259
667	0.5952810059
668	0.5952370199
669	0.5951503906
670	0.5950418294
671	0.5949182129
