iter	Passed	Remaining
410	4414	102996
411	4425	102986
412	4435	102972
413	4445	102942
414	4457	102952
415	4470	102999
416	4481	102993
417	4493	103003
418	4504	102999
419	4514	102967
420	4525	102958
421	4537	102983
422	4550	103032
423	4560	102989
424	4571	102985
425	4581	102969
426	4591	102942
427	4602	102932
428	4613	102923
429	4623	102895
430	4633	102882
431	4644	102857
432	4655	102856
433	4665	102838
434	4676	102825
435	4687	102827
436	4698	102815
437	4708	102794
438	4719	102782
439	4728	102745
440	4738	102710
441	4748	102687
442	4757	102636
443	4767	102598
444	4776	102558
445	4785	102519
446	4796	102497
447	4805	102451
448	4815	102437
449	4825	102401
450	4835	102382
451	4845	102360
452	4855	102332
453	4866	102321
454	4880	102374
455	4891	102373
456	4902	102375
457	4913	102366
458	4922	102315
459	4933	102312
460	4943	102289
461	4952	102254
462	4962	102226
463	4971	102175
464	4982	102173
465	4992	102142
466	5002	102109
467	5114	104159
468	5142	104510
469	5153	104486
470	5165	104502
471	5175	104472
472	5185	104450
473	5196	104429
474	5205	104393
475	5215	104360
476	5226	104336
477	5235	104299
478	5246	104280
479	5257	104264
480	5266	104222
481	5279	104252
482	5290	104242
483	5301	104232
484	5312	104219
485	5323	104204
486	5332	104162
487	5341	104122
488	5351	104076
489	5366	104159
490	5377	104138
491	5387	104116
492	5397	104078
493	5407	104051
494	5416	104008
495	5426	103984
496	5436	103956
497	5446	103924
498	5458	103930
499	5468	103903
500	5477	103856
501	5487	103826
502	5497	103794
503	5507	103769
504	5517	103739
505	5526	103696
506	5537	103679
507	5548	103670
508	5559	103670
509	5570	103661
510	5579	103609
511	5589	103588
512	5598	103543
513	5610	103537
514	5619	103505
515	5629	103468
516	5640	103453
517	5650	103431
518	5659	103383
519	5672	103410
520	5683	103412
521	5694	103401
522	5705	103386
523	5716	103369
524	5725	103333
525	5736	103317
526	5745	103277
527	5756	103262
528	5765	103227
529	5776	103212
530	5787	103203
531	5796	103161
532	5805	103122
533	5816	103103
534	5825	103056
535	5835	103029
536	5843	102979
537	5853	102947
538	5863	102924
539	5872	102880
540	5882	102859
541	5892	102821
542	5902	102795
543	5912	102768
544	5921	102730
545	5931	102702
546	5940	102661
547	5950	102636
548	5959	102594
549	5969	102560
550	5979	102536
551	5988	102498
552	5997	102463
553	6007	102428
554	6017	102398
555	6026	102368
556	6035	102325
557	6045	102294
558	6054	102249
559	6064	102223
560	6075	102229
561	6084	102181
562	6093	102133
563	6102	102092
564	6112	102071
565	6121	102024
566	6130	101992
567	6139	101949
568	6150	101950
569	6162	101946
570	6172	101926
571	6182	101899
572	6192	101883
573	6204	101880
574	6214	101857
575	6225	101850
576	6236	101854
577	6246	101830
578	6257	101809
579	6267	101796
580	6278	101787
581	6289	101780
582	6300	101775
583	6310	101752
584	6322	101754
585	6334	101763
586	6345	101753
587	6355	101739
588	6366	101720
589	6377	101719
590	6389	101720
591	6401	101724
592	6415	101774
593	6429	101808
594	6441	101826
595	6454	101845
596	6468	101881
597	6481	101902
598	6496	101953
599	6508	101973
600	6520	101974
601	6532	101979
602	6544	101982
603	6557	102003
604	6568	102005
605	6581	102018
606	6594	102047
607	6606	102055
608	6618	102064
609	6631	102074
610	6645	102123
611	6661	102190
612	6675	102215
613	6688	102247
614	6704	102304
615	6719	102362
616	6734	102410
617	6751	102489
618	6766	102543
619	6779	102563
620	6792	102590
621	6806	102625
622	6820	102655
623	6833	102679
624	6844	102671
625	6856	102677
626	6868	102676
627	6880	102680
628	6890	102659
629	6901	102652
630	6915	102675
631	6925	102652
632	6936	102648
633	6946	102624
634	6956	102593
635	6967	102587
636	6977	102561
637	6986	102518
638	6997	102505
639	7007	102480
640	7016	102443
641	7025	102411
642	7034	102370
643	7044	102342
644	7052	102295
645	7062	102269
646	7071	102225
647	7080	102192
648	7090	102162
649	7099	102125
650	7109	102095
651	7118	102060
652	7128	102038
653	7138	102005
654	7147	101969
655	7156	101936
656	7165	101900
657	7174	101864
658	7183	101827
659	7193	101800
660	7202	101760
661	7212	101741
662	7222	101712
663	7230	101664
664	7240	101638
665	7248	101590
666	7258	101559
667	7266	101517
668	7276	101496
669	7286	101461
670	7295	101428
671	7306	101426
672	7316	101399
673	7327	101395
674	7338	101385
675	7348	101350
676	7357	101325
677	7366	101290
678	7376	101256
679	7385	101220
680	7394	101190
681	7404	101159
682	7413	101130
683	7424	101120
684	7433	101088
685	7443	101057
686	7452	101029
687	7461	100994
688	7471	100967
689	7480	100933
690	7490	100911
691	7500	100885
692	7508	100842
693	7518	100813
694	7526	100774
695	7536	100745
696	7545	100708
697	7555	100690
698	7564	100660
699	7574	100637
700	7584	100610
701	7593	100578
702	7603	100553
703	7613	100526
704	7622	100501
705	7631	100465
706	7641	100437
707	7650	100408
708	7659	100366
709	7669	100351
710	7678	100314
711	7687	100285
712	7697	100265
713	7709	100267
714	7720	100255
715	7731	100247
716	7740	100215
717	7752	100215
718	7762	100200
719	7771	100172
720	7782	100153
721	7791	100124
722	7802	100111
723	7811	100086
724	7821	100055
725	7830	100029
726	7840	100004
727	7850	99991
728	7860	99964
729	7869	99937
730	7880	99920
731	7889	99887
732	7899	99869
733	7908	99833
734	7917	99804
735	7927	99777
736	7935	99741
737	7945	99721
738	7954	99684
739	7964	99667
