datetime,budget,strategy
2024-06-01 00:00:00,10000.0,start
2024-06-01 07:02:00,10000.0,wait
2024-06-01 07:03:00,10000.0,wait
2024-06-01 07:04:00,10000.0,wait
2024-06-01 07:05:00,10000.0,wait
2024-06-01 07:06:00,10000.0,wait
2024-06-01 07:07:00,10000.0,wait
2024-06-01 07:08:00,10000.0,wait
2024-06-01 07:09:00,10000.0,wait
2024-06-01 07:10:00,10000.0,wait
2024-06-01 07:11:00,10000.0,wait
2024-06-01 07:12:00,10000.0,wait
2024-06-01 07:13:00,10000.0,wait
2024-06-01 07:14:00,10000.0,wait
2024-06-01 07:15:00,10000.0,long
2024-06-01 07:16:00,9936.269686919999,wait
2024-06-01 07:17:00,9936.269686919999,wait
2024-06-01 07:18:00,9936.269686919999,wait
2024-06-01 07:19:00,9936.269686919999,wait
2024-06-01 07:20:00,9936.269686919999,wait
2024-06-01 07:21:00,9936.269686919999,wait
2024-06-01 07:22:00,9936.269686919999,wait
2024-06-01 07:23:00,9936.269686919999,wait
2024-06-01 07:24:00,9936.269686919999,wait
2024-06-01 07:25:00,9936.269686919999,wait
2024-06-01 07:26:00,9936.269686919999,wait
2024-06-01 07:27:00,9936.269686919999,wait
2024-06-01 07:28:00,9936.269686919999,wait
2024-06-01 07:29:00,9936.269686919999,wait
2024-06-01 07:30:00,9936.269686919999,wait
2024-06-01 07:31:00,9936.269686919999,wait
2024-06-01 07:32:00,9936.269686919999,wait
2024-06-01 07:33:00,9936.269686919999,wait
2024-06-01 07:34:00,9936.269686919999,wait
2024-06-01 07:35:00,9936.269686919999,wait
2024-06-01 07:36:00,9936.269686919999,wait
2024-06-01 07:37:00,9936.269686919999,wait
2024-06-01 07:38:00,9936.269686919999,wait
2024-06-01 07:39:00,9936.269686919999,wait
2024-06-01 07:40:00,9936.269686919999,wait
2024-06-01 07:41:00,9936.269686919999,wait
2024-06-01 07:42:00,9936.269686919999,wait
2024-06-01 07:43:00,9936.269686919999,wait
2024-06-01 07:44:00,9936.269686919999,wait
2024-06-01 07:45:00,9936.269686919999,wait
2024-06-01 07:47:00,9936.269686919999,wait
2024-06-01 07:48:00,9936.269686919999,wait
2024-06-01 07:49:00,9936.269686919999,wait
2024-06-01 07:50:00,9936.269686919999,wait
2024-06-01 07:51:00,9936.269686919999,wait
2024-06-01 07:52:00,9936.269686919999,wait
2024-06-01 07:53:00,9936.269686919999,wait
2024-06-01 07:54:00,9936.269686919999,wait
2024-06-01 07:55:00,9936.269686919999,wait
2024-06-01 07:56:00,9936.269686919999,wait
2024-06-01 07:57:00,9936.269686919999,wait
2024-06-01 07:58:00,9936.269686919999,wait
2024-06-01 07:59:00,9936.269686919999,wait
2024-06-01 08:00:00,9936.269686919999,wait
2024-06-01 08:01:00,9936.269686919999,wait
2024-06-01 08:02:00,9936.269686919999,wait
2024-06-01 08:03:00,9936.269686919999,wait
2024-06-01 08:04:00,9936.269686919999,wait
2024-06-01 08:05:00,9936.269686919999,wait
2024-06-01 08:06:00,9936.269686919999,wait
2024-06-01 08:07:00,9936.269686919999,wait
2024-06-01 08:08:00,9936.269686919999,long
2024-06-01 08:09:00,9928.320683331998,wait
2024-06-01 08:10:00,9928.320683331998,wait
2024-06-01 08:11:00,9928.320683331998,wait
2024-06-01 08:12:00,9928.320683331998,wait
2024-06-01 08:13:00,9928.320683331998,wait
2024-06-01 08:14:00,9928.320683331998,wait
2024-06-01 08:15:00,9928.320683331998,wait
2024-06-01 08:16:00,9928.320683331998,wait
2024-06-01 08:17:00,9928.320683331998,wait
2024-06-01 08:18:00,9928.320683331998,wait
2024-06-01 08:19:00,9928.320683331998,wait
2024-06-01 08:20:00,9928.320683331998,wait
2024-06-01 08:21:00,9928.320683331998,wait
2024-06-01 08:22:00,9928.320683331998,wait
